Id,MSZoning,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Foundation,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,CentralAir,KitchenQual,SalePrice
171,RM,7657,Koramangala,1Fam,1Story,10,5,1996,2002,CBlock,1389.0,1796,529,2325,1,1,5,8,1,2.0,368.0,Y,Y,Gd,13519636
172,RL,8680,Saket,1Fam,SplitLevel,5,9,1973,1983,CBlock,496.0,646,584,1230,1,0,5,7,1,3.0,574.0,N,N,Gd,7799338
173,RL,7500,Whitefield,Apartment,1Story,7,4,1984,2001,PConc,969.0,1856,271,2127,2,1,2,6,1,1.0,150.0,Y,Y,TA,12763634
174,RM,8618,Saket,1Fam,2Story,3,7,2004,2004,CBlock,836.0,1189,392,1581,1,0,4,7,1,1.0,176.0,Y,Y,TA,8958008
175,RL,6207,Malad,1Fam,2Story,3,3,2006,2008,BrkTil,1253.0,1635,350,1985,2,1,5,9,2,1.0,249.0,Y,Y,Fa,9058747
176,FV,5464,Saket,Duplex,2Story,6,5,1970,1973,PConc,698.0,1220,404,1624,3,0,5,9,1,1.0,156.0,Y,Y,TA,8505496
177,RM,8527,Saket,Duplex,SplitLevel,8,5,1972,1984,CBlock,528.0,507,173,680,3,1,5,9,2,0.0,0.0,Y,Y,Ex,8969202
178,RL,9254,Bandra,1Fam,2Story,3,3,2016,2021,CBlock,327.0,351,249,600,1,0,3,5,1,3.0,579.0,Y,Y,TA,10944375
179,RM,5171,Bandra,1Fam,SplitLevel,10,7,1993,2006,BrkTil,1303.0,1089,615,1704,3,1,5,10,2,1.0,,Y,Y,TA,14669313
180,RL,5848,Powai,Duplex,1Story,5,6,1996,2000,PConc,1045.0,850,618,1468,3,0,2,6,2,0.0,0.0,N,Y,TA,11540699
181,RM,6673,Indiranagar,Duplex,2Story,8,3,2009,2024,CBlock,1263.0,1075,724,1799,3,1,2,6,1,3.0,705.0,N,Y,Gd,16035055
182,RL,10239,Whitefield,Apartment,2Story,5,7,2005,2019,PConc,946.0,1453,20,1473,3,0,3,7,1,,0.0,Y,Y,Ex,15810012
183,RL,8126,Saket,Duplex,SplitLevel,10,3,2003,2017,BrkTil,1697.0,1504,1105,2609,2,0,3,7,1,0.0,31.0,N,N,Fa,9054593
184,RM,4351,Saket,1Fam,1Story,3,3,1998,2001,CBlock,1123.0,1088,627,1715,2,1,2,6,1,2.0,395.0,Y,Y,TA,8569010
185,C,6814,Koramangala,Duplex,1Story,3,4,1993,2000,BrkTil,896.0,1094,282,1376,1,0,3,6,0,0.0,18.0,N,Y,Gd,10326444
186,RL,6508,Bandra,1Fam,2Story,6,7,1993,2008,BrkTil,1098.0,1423,345,1768,3,0,5,10,0,0.0,0.0,Y,Y,Ex,17398476
187,RL,4653,Whitefield,Apartment,1Story,3,6,2011,2024,CBlock,,799,586,1385,3,0,4,9,2,3.0,658.0,N,Y,TA,13275420
188,RL,6790,Viman Nagar,Duplex,2Story,8,9,1973,1976,CBlock,,1476,170,1646,3,0,4,8,2,0.0,21.0,Y,Y,Gd,10810700
189,RL,6419,Powai,1Fam,SplitLevel,10,4,1972,1984,CBlock,704.0,884,107,991,1,1,4,6,0,2.0,422.0,Y,Y,Gd,11313520
190,RL,6276,Indiranagar,1Fam,SplitLevel,9,3,2003,2015,PConc,1194.0,986,609,1595,2,0,2,6,2,1.0,204.0,Y,Y,TA,14320219
191,RM,6185,Andheri,1Fam,1Story,10,9,2018,2019,PConc,661.0,876,485,1361,3,0,3,8,1,1.0,262.0,Y,Y,TA,10901827
192,RL,9942,Indiranagar,1Fam,1Story,8,8,1992,1994,PConc,449.0,1005,33,1038,2,1,4,7,2,3.0,628.0,Y,Y,Ex,15585491
193,FV,6272,Malad,1Fam,2Story,8,9,2022,2024,PConc,1534.0,2361,226,2587,1,0,5,8,2,3.0,618.0,N,Y,TA,12309593
194,RL,7099,Saket,Duplex,2Story,6,3,2021,2024,BrkTil,640.0,898,160,1058,2,1,5,9,2,,32.0,Y,Y,TA,8682197
195,C,6882,Powai,1Fam,2Story,6,3,1992,2002,PConc,1172.0,867,736,1603,3,0,5,10,0,3.0,512.0,Y,Y,TA,10401617
196,RL,5989,Malad,1Fam,2Story,3,7,2014,2022,CBlock,691.0,849,349,1198,2,1,3,7,0,0.0,9.0,Y,N,Gd,9309625
197,C,7159,Whitefield,Duplex,2Story,4,7,1974,1980,PConc,1098.0,1362,386,1748,2,0,4,8,2,3.0,596.0,Y,Y,Ex,14067600
198,RL,7130,Andheri,1Fam,1Story,10,4,2000,2012,PConc,587.0,571,391,962,1,1,5,7,1,,258.0,N,Y,Ex,11006947
199,RM,7159,Bandra,Duplex,2Story,10,6,2022,2023,PConc,838.0,1462,558,2020,1,1,3,5,2,1.0,164.0,Y,Y,Ex,20046886
200,RL,5281,Powai,1Fam,1Story,4,4,2010,2017,PConc,1691.0,2095,523,2618,1,1,5,8,0,1.0,210.0,Y,Y,Gd,15887091
201,RL,6587,Powai,1Fam,1Story,6,5,1975,1981,PConc,862.0,783,397,1180,1,0,4,7,1,1.0,296.0,Y,Y,Gd,10996168
202,RL,8520,Saket,1Fam,2Story,3,3,2006,2017,CBlock,1022.0,1966,242,2208,2,1,4,7,2,0.0,0.0,Y,Y,Gd,12284337
203,RL,6640,Sector17,Apartment,2Story,4,9,1979,1997,CBlock,898.0,1296,113,1409,2,0,4,8,0,0.0,0.0,Y,N,Gd,8631614
204,RM,7323,Powai,1Fam,2Story,3,8,2009,2015,CBlock,1499.0,1556,796,2352,1,1,4,6,1,0.0,108.0,Y,Y,Gd,15550540
205,RL,7334,Koramangala,1Fam,1Story,3,3,1976,1985,CBlock,1254.0,2476,218,2694,1,1,4,7,2,1.0,164.0,Y,Y,Gd,13859851
206,RM,7834,Andheri,1Fam,1Story,3,3,2008,2023,BrkTil,666.0,818,665,1483,3,1,5,9,0,2.0,348.0,Y,Y,TA,10013535
207,RL,8117,Andheri,Apartment,1Story,7,4,2007,2009,CBlock,664.0,770,69,839,3,0,4,8,1,1.0,149.0,Y,Y,Gd,10211816
208,RL,6651,Koramangala,1Fam,2Story,8,8,1990,1999,PConc,1156.0,1195,879,2074,1,0,5,8,2,1.0,236.0,Y,Y,Ex,16813896
209,C,5177,Viman Nagar,Duplex,1Story,3,8,1989,1994,PConc,840.0,926,786,1712,2,1,4,8,1,2.0,464.0,Y,N,Gd,9951170
210,RM,4562,Koramangala,Duplex,2Story,7,8,1972,1989,PConc,866.0,1518,332,1850,1,1,5,7,1,2.0,488.0,Y,Y,TA,11190084
211,RL,9035,Koramangala,1Fam,2Story,6,4,2020,2024,PConc,953.0,1052,378,1430,2,1,4,8,1,3.0,600.0,Y,N,Gd,11955525
212,RM,8540,Andheri,1Fam,1Story,4,3,1991,1995,CBlock,744.0,1103,54,1157,2,1,5,8,0,1.0,150.0,N,Y,Fa,7855315
213,C,8298,Indiranagar,1Fam,SplitLevel,8,4,2016,2022,BrkTil,1433.0,1485,695,2180,3,1,4,9,2,2.0,371.0,Y,Y,TA,16002261
214,C,8622,Andheri,1Fam,SplitLevel,9,7,1973,1974,CBlock,765.0,1132,627,1759,1,1,3,6,1,3.0,601.0,Y,N,Gd,10049226
215,RL,6676,Sector17,Duplex,SplitLevel,4,7,1997,2007,CBlock,665.0,658,220,878,1,1,5,8,1,2.0,398.0,Y,Y,Gd,8828686
216,C,5750,Saket,1Fam,2Story,8,4,1981,1993,PConc,1079.0,1414,529,1943,2,1,3,6,1,2.0,465.0,Y,N,TA,8029246
217,RL,5039,Malad,1Fam,1Story,9,8,2007,2011,PConc,968.0,1238,605,1843,1,0,5,7,0,3.0,534.0,Y,Y,Ex,12949586
218,RM,4821,Indiranagar,1Fam,1Story,4,3,2020,2024,CBlock,840.0,1216,221,1437,3,1,5,10,1,1.0,144.0,Y,Y,Gd,14115163
219,RL,9424,Bandra,1Fam,2Story,8,4,2005,2018,PConc,1339.0,2119,290,2409,3,0,5,9,0,3.0,584.0,Y,Y,Gd,17566426
220,RM,6013,Malad,1Fam,1Story,4,4,2016,2024,BrkTil,961.0,1195,95,1290,1,1,2,5,0,1.0,218.0,N,Y,Fa,8727189
221,RM,9109,Saket,Apartment,2Story,4,4,2010,2013,PConc,1169.0,1494,21,1515,1,0,4,6,1,2.0,377.0,N,Y,Gd,10030014
222,RL,6626,Sector17,1Fam,2Story,9,5,1974,1979,BrkTil,1034.0,1256,728,1984,3,0,3,8,1,3.0,,Y,Y,Gd,11590194
223,RL,5647,Sector17,1Fam,1Story,4,7,1982,1991,CBlock,1221.0,1405,233,1638,1,1,3,5,0,0.0,58.0,Y,N,Ex,10939870
224,RM,4811,Bandra,1Fam,2Story,4,9,1992,2009,CBlock,646.0,632,275,907,2,0,5,8,0,2.0,423.0,Y,Y,TA,11246552
225,RL,5823,Indiranagar,1Fam,1Story,9,8,2019,2024,BrkTil,1305.0,1417,274,1691,1,0,3,5,1,3.0,550.0,Y,Y,TA,14514605
226,RL,9836,Viman Nagar,1Fam,1Story,6,6,1999,2006,PConc,693.0,1027,365,1392,2,1,3,6,0,2.0,374.0,N,Y,Gd,12889613
227,RL,4831,Koramangala,Duplex,SplitLevel,3,9,2006,2014,PConc,1279.0,2021,7,2028,1,1,3,5,0,3.0,625.0,Y,Y,TA,12669691
228,RM,11233,Indiranagar,1Fam,1Story,10,8,1994,1998,PConc,853.0,1447,228,1675,1,1,3,5,1,1.0,136.0,N,Y,Gd,14649857
229,C,5318,Viman Nagar,Duplex,2Story,5,6,2017,2024,PConc,1201.0,1607,40,1647,3,0,2,7,1,0.0,25.0,Y,Y,TA,12813442
230,RM,8499,Sector17,Apartment,1Story,7,5,1996,2015,PConc,432.0,986,89,1075,2,1,5,9,2,2.0,382.0,Y,Y,Gd,11337755
231,RL,6709,Andheri,1Fam,2Story,5,4,2020,2024,BrkTil,,1411,73,1484,3,0,3,7,1,0.0,18.0,Y,Y,TA,10178001
232,RL,6358,Saket,Duplex,1Story,5,5,1983,1998,PConc,,1891,194,2085,1,1,2,5,1,1.0,205.0,Y,Y,TA,10876164
233,RL,4457,Bandra,1Fam,2Story,8,5,2017,2019,BrkTil,640.0,883,328,1211,3,1,2,6,1,3.0,544.0,Y,Y,TA,14415196
234,FV,6803,Saket,1Fam,2Story,3,9,2016,2024,BrkTil,1041.0,990,593,1583,1,0,5,8,2,0.0,0.0,Y,Y,Gd,11272202
235,RL,4683,Whitefield,1Fam,SplitLevel,8,3,2005,2015,CBlock,837.0,774,357,1131,1,0,4,7,0,3.0,672.0,Y,Y,TA,13107183
236,RL,3636,Whitefield,Duplex,1Story,3,9,2008,2018,BrkTil,648.0,514,494,1008,1,0,4,7,1,1.0,318.0,Y,Y,Gd,12960384
237,RM,7239,Indiranagar,1Fam,2Story,9,7,1985,2001,CBlock,1154.0,1186,371,1557,2,1,4,8,1,2.0,,Y,Y,Fa,10337845
238,C,5729,Sector17,Duplex,2Story,9,6,1991,1994,CBlock,852.0,1268,418,1686,2,1,3,6,2,1.0,252.0,Y,N,Gd,9816454
239,RL,10368,Sector17,1Fam,1Story,10,4,1990,1993,CBlock,1577.0,1979,617,2596,2,1,5,9,2,0.0,14.0,Y,Y,TA,12868721
240,RL,9000,Koramangala,1Fam,1Story,3,9,1990,2006,CBlock,796.0,1354,18,1372,3,0,4,9,2,0.0,104.0,Y,Y,Gd,11747758
241,RL,10394,Koramangala,1Fam,2Story,4,6,1977,1985,PConc,636.0,1504,70,1574,1,0,3,6,0,0.0,,Y,Y,Gd,11377431
242,RM,5638,Koramangala,Duplex,2Story,6,8,2018,2024,PConc,606.0,565,409,974,3,0,5,9,2,3.0,644.0,Y,Y,Ex,14334132
243,RL,7272,Andheri,1Fam,1Story,10,6,1985,1989,CBlock,1266.0,1304,602,1906,3,0,3,8,0,,384.0,Y,Y,Gd,11335513
244,RM,2000,Malad,1Fam,1Story,10,8,2000,2005,PConc,1145.0,1280,519,1799,1,1,4,6,1,0.0,64.0,Y,Y,Ex,13206972
245,RL,6436,Powai,1Fam,2Story,4,9,2011,2013,BrkTil,1627.0,1594,750,2344,3,0,4,8,1,0.0,115.0,Y,Y,Ex,17791543
246,C,7196,Malad,1Fam,1Story,6,7,1979,1979,CBlock,1354.0,1937,218,2155,1,0,2,5,1,0.0,10.0,Y,Y,Ex,12219826
247,RL,7308,Saket,1Fam,2Story,8,9,2001,2020,PConc,757.0,1352,423,1775,1,1,2,4,2,1.0,143.0,Y,Y,TA,10128731
248,RL,6915,Malad,1Fam,1Story,6,8,2003,2018,PConc,609.0,1072,292,1364,1,1,5,8,1,0.0,70.0,Y,N,Gd,9405777
249,RM,7133,Andheri,1Fam,2Story,8,6,1978,1988,PConc,1086.0,1576,126,1702,1,0,3,6,2,1.0,,Y,N,TA,8996965
250,RM,2000,Saket,1Fam,2Story,9,6,1986,1998,PConc,787.0,1394,150,1544,3,0,3,8,0,0.0,18.0,Y,Y,TA,8963406
251,RM,7512,Malad,1Fam,2Story,5,8,1980,1989,PConc,896.0,1175,901,2076,3,0,4,9,1,1.0,279.0,Y,Y,TA,11171826
252,RM,7966,Andheri,Duplex,2Story,9,5,2001,2003,BrkTil,1151.0,1725,288,2013,3,0,4,9,0,3.0,543.0,Y,Y,Gd,14001970
253,RL,9676,Powai,1Fam,1Story,9,7,1979,1987,PConc,902.0,1041,410,1451,2,0,5,9,2,3.0,564.0,Y,Y,Ex,15204216
254,RL,7737,Malad,1Fam,1Story,5,3,1991,2002,CBlock,461.0,562,307,869,3,0,2,7,2,1.0,,Y,Y,TA,8402854
255,RL,6738,Andheri,Duplex,1Story,6,4,1986,1999,PConc,1559.0,1189,1077,2266,3,1,4,8,1,2.0,363.0,N,Y,TA,11192495
256,FV,9209,Koramangala,1Fam,1Story,10,6,1973,1973,BrkTil,1242.0,1405,485,1890,2,1,3,6,1,2.0,384.0,Y,Y,TA,11785806
257,RL,2285,Sector17,Apartment,SplitLevel,6,4,2017,2024,CBlock,767.0,975,465,1440,1,1,4,7,2,1.0,263.0,Y,N,TA,10412270
258,RL,5970,Koramangala,1Fam,2Story,8,3,2021,2024,CBlock,1313.0,1170,701,1871,1,1,2,5,1,3.0,621.0,Y,Y,TA,13029914
259,RL,5468,Sector17,Duplex,1Story,4,9,2016,2024,CBlock,1079.0,1387,250,1637,1,0,3,5,1,1.0,141.0,Y,Y,Gd,11519559
260,C,6930,Bandra,Duplex,1Story,8,4,1994,2002,CBlock,1479.0,1998,261,2259,2,0,2,6,0,2.0,420.0,Y,Y,TA,15542261
261,C,2602,Bandra,Apartment,1Story,4,3,1990,1999,PConc,394.0,395,240,635,3,0,5,9,2,,,Y,Y,TA,11618302
262,FV,9639,Bandra,Apartment,1Story,9,8,2006,2024,PConc,566.0,735,666,1401,3,0,5,9,0,3.0,,Y,Y,Ex,17083787
263,RL,6500,Powai,1Fam,1Story,5,5,2007,2021,PConc,1627.0,2217,182,2399,3,1,2,7,1,2.0,443.0,Y,N,Gd,14798066
264,RM,7637,Koramangala,1Fam,1Story,9,6,2018,2022,PConc,1035.0,949,932,1881,3,0,3,8,0,2.0,374.0,Y,Y,TA,12627605
265,RL,7446,Sector17,Duplex,1Story,3,3,1970,1984,PConc,1931.0,2407,79,2486,2,0,2,5,2,0.0,12.0,Y,Y,TA,10349626
266,RL,9524,Andheri,1Fam,1Story,6,4,1994,2013,CBlock,719.0,804,185,989,3,0,4,8,0,0.0,0.0,N,Y,Fa,7877454
267,RL,3276,Saket,Duplex,2Story,4,6,2020,2021,PConc,,1411,725,2136,1,0,4,7,0,,431.0,Y,Y,Ex,13069406
268,RL,7224,Andheri,1Fam,2Story,8,5,2005,2017,PConc,1054.0,1312,794,2106,2,1,2,6,1,2.0,418.0,Y,Y,TA,12539912
269,RM,9292,Saket,Duplex,2Story,5,8,1986,2001,BrkTil,365.0,382,377,759,2,0,4,7,2,1.0,135.0,Y,N,TA,5995705
270,FV,6804,Whitefield,1Fam,1Story,4,9,2010,2024,BrkTil,778.0,896,556,1452,1,1,2,4,1,3.0,676.0,N,Y,TA,11994059
271,RL,5097,Andheri,1Fam,2Story,8,6,1993,2002,BrkTil,,879,667,1546,1,0,4,6,1,2.0,,Y,Y,Gd,12157246
272,FV,5792,Malad,Apartment,2Story,6,9,1971,1984,CBlock,409.0,636,154,790,3,0,2,7,2,3.0,565.0,Y,Y,Gd,8720425
273,RL,6214,Malad,1Fam,1Story,9,3,2009,2018,PConc,885.0,852,610,1462,1,0,4,7,0,2.0,432.0,Y,N,TA,9799357
274,RL,5557,Indiranagar,1Fam,1Story,6,5,1984,1997,BrkTil,949.0,1556,480,2036,2,1,3,7,1,3.0,550.0,Y,Y,Gd,14308133
275,RL,6694,Koramangala,1Fam,1Story,7,4,2001,2009,PConc,1110.0,1116,288,1404,2,0,3,6,0,0.0,0.0,Y,Y,TA,11495228
276,RL,10016,Saket,Apartment,1Story,3,5,2008,2021,PConc,762.0,1116,605,1721,2,0,4,7,2,2.0,351.0,Y,Y,Ex,12048285
277,RL,5805,Saket,Duplex,1Story,7,5,1975,1977,PConc,1332.0,892,832,1724,3,0,2,7,1,1.0,149.0,Y,Y,TA,10052030
278,RM,6024,Koramangala,Duplex,2Story,5,7,1970,1989,CBlock,1219.0,826,767,1593,3,1,4,8,0,3.0,621.0,Y,Y,Ex,13382153
279,RM,7919,Powai,1Fam,1Story,4,5,2016,2024,PConc,760.0,639,608,1247,1,1,5,7,0,2.0,404.0,Y,Y,Gd,12420485
280,C,6650,Indiranagar,1Fam,1Story,5,5,1992,1993,CBlock,1330.0,1677,252,1929,3,0,5,9,1,0.0,37.0,Y,Y,TA,12927039
281,RL,4341,Powai,1Fam,1Story,9,6,2008,2017,PConc,462.0,531,275,806,3,1,2,6,2,0.0,0.0,Y,Y,Ex,12986052
282,RM,6877,Powai,1Fam,2Story,8,4,1986,1988,PConc,1045.0,1440,164,1604,2,0,4,7,0,0.0,0.0,Y,Y,TA,10227379
283,RM,6802,Powai,1Fam,SplitLevel,6,6,2003,2013,PConc,1229.0,1640,652,2292,2,0,4,8,2,0.0,0.0,Y,Y,Ex,18440154
284,FV,8951,Koramangala,Duplex,SplitLevel,7,6,2010,2020,PConc,716.0,999,377,1376,1,1,3,6,1,2.0,402.0,Y,Y,TA,11849912
285,RL,5055,Powai,1Fam,1Story,10,3,1998,2010,BrkTil,780.0,934,302,1236,2,0,2,6,0,1.0,201.0,Y,Y,Gd,12778690
286,FV,8964,Malad,1Fam,1Story,7,6,1978,1984,BrkTil,1175.0,1680,282,1962,3,0,5,10,0,3.0,611.0,Y,Y,Gd,11393908
287,RM,6804,Bandra,1Fam,2Story,9,7,1982,1998,PConc,1062.0,1070,611,1681,1,1,5,8,0,1.0,204.0,Y,Y,Ex,16469172
288,RM,4784,Whitefield,1Fam,1Story,7,7,1975,1976,BrkTil,1014.0,1105,867,1972,1,1,2,4,2,3.0,577.0,Y,N,TA,10794564
289,RL,4382,Saket,1Fam,2Story,9,9,1975,1986,CBlock,885.0,1259,360,1619,2,1,5,8,0,1.0,180.0,N,Y,Gd,10534348
290,RL,10868,Saket,1Fam,SplitLevel,10,3,1989,1998,PConc,260.0,398,202,600,2,1,2,5,0,2.0,397.0,Y,Y,Ex,9854421
291,RL,6680,Whitefield,1Fam,2Story,5,9,2021,2024,CBlock,921.0,1578,611,2189,2,0,5,9,1,2.0,425.0,Y,Y,TA,13931792
292,RL,8873,Koramangala,Apartment,1Story,6,9,2022,2024,BrkTil,1321.0,2169,466,2635,1,0,5,7,0,3.0,604.0,Y,Y,Gd,14436585
293,RL,3583,Andheri,1Fam,2Story,4,8,1972,1987,PConc,963.0,1674,568,2242,2,0,2,5,2,2.0,360.0,Y,Y,TA,9890411
294,FV,12275,Koramangala,Duplex,SplitLevel,8,4,1986,2002,PConc,264.0,486,114,600,3,0,2,6,1,3.0,558.0,Y,Y,TA,9825521
295,RL,8786,Saket,1Fam,2Story,4,4,2018,2024,PConc,1323.0,1409,416,1825,1,0,5,8,1,,225.0,Y,Y,Ex,14278982
296,RL,6489,Saket,1Fam,1Story,5,6,1981,1998,PConc,567.0,1188,178,1366,2,0,5,8,0,2.0,437.0,Y,Y,Ex,9781517
297,RL,6387,Whitefield,1Fam,SplitLevel,8,6,2017,2019,PConc,701.0,901,156,1057,3,0,3,7,1,2.0,453.0,Y,Y,TA,11736946
298,RL,8469,Powai,1Fam,SplitLevel,7,8,2016,2024,CBlock,845.0,1274,387,1661,3,0,4,9,0,3.0,575.0,Y,Y,Ex,16400901
299,RL,8354,Koramangala,1Fam,SplitLevel,10,6,2014,2019,CBlock,1141.0,1280,245,1525,2,1,2,6,1,3.0,506.0,N,Y,Ex,17166959
300,RL,7365,Sector17,1Fam,1Story,10,4,1970,1981,PConc,1101.0,1736,118,1854,3,0,2,6,2,3.0,619.0,Y,Y,TA,10846350
301,RL,7021,Whitefield,Apartment,2Story,3,9,1986,1996,PConc,850.0,1165,463,1628,1,0,4,7,0,3.0,564.0,Y,Y,Gd,12229539
302,RM,8122,Malad,1Fam,2Story,5,5,1972,1986,CBlock,630.0,733,306,1039,1,0,3,5,2,0.0,0.0,Y,N,Gd,7477763
303,RL,3516,Saket,1Fam,1Story,5,7,1995,2009,PConc,724.0,1156,155,1311,3,0,5,10,0,3.0,607.0,Y,Y,Gd,9515847
304,C,6257,Whitefield,1Fam,2Story,6,5,1984,1999,CBlock,770.0,974,257,1231,1,0,5,7,2,0.0,27.0,Y,Y,TA,11418025
305,FV,3706,Koramangala,1Fam,2Story,4,5,2005,2014,BrkTil,330.0,396,345,741,2,1,3,6,2,1.0,244.0,Y,Y,TA,10624936
306,RL,8209,Saket,Duplex,SplitLevel,5,4,2001,2012,BrkTil,730.0,864,50,914,3,1,3,8,1,3.0,658.0,N,Y,TA,8492592
307,C,5648,Andheri,1Fam,SplitLevel,5,5,2001,2013,CBlock,851.0,769,725,1494,1,1,4,7,0,0.0,65.0,Y,Y,Fa,9010045
308,RL,3856,Whitefield,1Fam,1Story,7,8,1973,1976,PConc,1246.0,2020,291,2311,2,0,4,8,1,0.0,,Y,Y,Gd,12627664
309,RL,5412,Indiranagar,1Fam,1Story,7,3,1987,1993,PConc,911.0,1171,161,1332,2,0,5,9,2,0.0,0.0,Y,Y,Gd,14956328
310,RL,7298,Saket,1Fam,1Story,8,6,2018,2019,CBlock,666.0,1192,29,1221,1,0,3,5,0,2.0,369.0,Y,N,Ex,9824423
311,RL,6589,Koramangala,1Fam,SplitLevel,9,3,1988,2002,BrkTil,739.0,531,478,1009,3,0,3,8,2,0.0,70.0,Y,Y,Ex,13922884
312,FV,4653,Bandra,1Fam,1Story,9,9,2012,2019,PConc,939.0,1289,326,1615,2,1,5,8,2,3.0,607.0,Y,Y,Ex,19141274
313,RL,3590,Sector17,Duplex,2Story,3,7,2021,2024,PConc,1505.0,1562,627,2189,2,1,5,8,2,3.0,708.0,N,Y,Gd,12709491
314,RL,7147,Viman Nagar,Duplex,2Story,9,6,2004,2018,CBlock,,1730,871,2601,2,0,5,8,2,3.0,581.0,Y,Y,TA,15123214
315,RL,5838,Powai,1Fam,SplitLevel,6,5,2009,2022,PConc,1286.0,949,793,1742,2,0,5,9,1,0.0,115.0,N,Y,Ex,16241316
316,RL,6483,Viman Nagar,Apartment,1Story,3,7,1983,1990,PConc,,1304,365,1669,3,1,5,9,2,,0.0,Y,Y,TA,10311137
317,FV,6680,Koramangala,1Fam,2Story,8,6,2002,2013,BrkTil,,982,346,1328,1,1,4,6,1,2.0,379.0,Y,Y,Gd,12493904
318,RL,7860,Malad,1Fam,SplitLevel,7,8,1983,1995,PConc,646.0,779,632,1411,1,1,5,8,2,1.0,164.0,Y,Y,Fa,7057564
319,RL,8693,Malad,Apartment,2Story,9,8,2003,2013,PConc,1007.0,1543,371,1914,1,1,3,5,0,2.0,432.0,Y,Y,TA,10995174
320,RL,7293,Bandra,1Fam,1Story,4,8,1973,1989,CBlock,1139.0,1253,189,1442,2,1,2,5,2,3.0,529.0,Y,Y,TA,11489090
321,RL,6359,Powai,1Fam,1Story,7,8,1993,2009,CBlock,763.0,1341,177,1518,3,1,4,8,2,3.0,572.0,Y,Y,TA,11965567
322,RL,7049,Indiranagar,1Fam,2Story,10,5,1998,2001,PConc,924.0,1511,76,1587,1,1,3,6,0,3.0,597.0,Y,Y,TA,11994053
323,RL,6321,Bandra,Duplex,1Story,6,3,1988,1995,PConc,537.0,918,386,1304,3,0,2,6,0,2.0,,Y,Y,Gd,12488041
324,RL,3714,Viman Nagar,1Fam,2Story,7,6,1975,1979,CBlock,,1525,37,1562,1,0,4,6,2,3.0,,Y,Y,Gd,10804434
325,C,9183,Bandra,Duplex,2Story,6,5,2002,2017,CBlock,377.0,559,41,600,2,1,5,8,2,3.0,686.0,Y,Y,TA,11818886
326,RL,8806,Viman Nagar,1Fam,SplitLevel,6,8,2018,2021,PConc,1464.0,1214,660,1874,1,0,4,7,1,3.0,621.0,Y,Y,Gd,13502378
327,C,10976,Saket,1Fam,1Story,6,9,2009,2023,PConc,,1608,1167,2775,2,1,5,9,0,0.0,0.0,Y,Y,Gd,14112534
328,FV,11560,Malad,1Fam,2Story,8,3,1988,1999,CBlock,962.0,949,374,1323,2,0,5,9,0,1.0,176.0,N,Y,Gd,10747686
329,FV,4647,Saket,1Fam,1Story,6,9,2022,2024,CBlock,1105.0,1251,535,1786,1,1,5,7,1,0.0,16.0,Y,N,Gd,9881033
330,RL,6329,Sector17,Apartment,1Story,6,7,1970,1985,CBlock,843.0,1595,430,2025,3,0,2,6,2,0.0,0.0,Y,Y,Gd,11927306
331,FV,12023,Powai,Apartment,1Story,10,9,1974,1987,CBlock,1178.0,1773,467,2240,2,1,4,7,2,1.0,223.0,Y,Y,Ex,15721877
332,RM,6918,Indiranagar,1Fam,2Story,4,7,1996,2005,CBlock,924.0,1283,184,1467,3,0,5,9,0,1.0,173.0,Y,Y,Gd,15026473
333,RM,7488,Viman Nagar,1Fam,2Story,3,7,1985,1991,PConc,544.0,526,172,698,1,0,3,5,1,2.0,348.0,Y,Y,Gd,9475200
334,RL,3957,Indiranagar,1Fam,1Story,5,8,1975,1987,BrkTil,1288.0,957,776,1733,2,1,4,8,2,1.0,259.0,Y,Y,Gd,12737701
335,RL,7300,Viman Nagar,1Fam,1Story,10,7,2009,2024,BrkTil,817.0,1546,118,1664,3,1,3,7,0,2.0,435.0,Y,N,TA,12403701
336,FV,10863,Koramangala,1Fam,2Story,3,4,1982,1986,CBlock,696.0,934,493,1427,2,1,2,5,2,2.0,305.0,N,Y,Gd,10143403
337,RL,9573,Bandra,Duplex,2Story,6,6,2017,2019,PConc,736.0,1510,23,1533,1,0,2,5,2,0.0,0.0,Y,N,Fa,11083075
338,RL,5780,Sector17,1Fam,2Story,4,6,2004,2018,CBlock,1284.0,933,738,1671,2,0,4,8,2,,652.0,Y,Y,Ex,13938734
339,RL,6207,Malad,Duplex,SplitLevel,7,8,1988,1991,CBlock,1319.0,1742,38,1780,1,0,2,4,0,0.0,0.0,Y,Y,TA,9449326
340,FV,4738,Viman Nagar,Duplex,SplitLevel,4,4,1981,1995,PConc,1248.0,959,800,1759,3,0,2,7,1,0.0,0.0,Y,Y,Gd,11651030
341,RL,5297,Indiranagar,1Fam,1Story,10,9,1985,1998,CBlock,,917,574,1491,2,1,4,8,1,1.0,187.0,Y,Y,Fa,10804554
342,FV,3179,Sector17,Duplex,1Story,6,5,2012,2024,CBlock,1078.0,937,855,1792,3,1,3,8,2,1.0,205.0,Y,Y,Gd,13429603
